gpu,wm,policy,train_step,eval_step,final_score,peak_step,peak_score,action_time,update_time,steps_per_second,elapsed_time_hours,name,path
a100-r1,mlp,flow,8220000,8200000,0.5374503253767033,6800000,0.5685027850640472,0.1072813868522644,0.07230821996927261,422.33270473985704,5.406480027967029,subset20-10m-a100-r1_wm-mlp_pi-flow_seed-1,outputs/logs/soup/1/subset20-10m-a100-r1_wm-mlp_pi-flow_seed-1
a100-r1,mlp,gaussian,10000000,10000000,0.535698691867292,9400000,0.564897437710315,0.06453341990709305,0.05605187267065048,355.062865755442,7.823340725501378,subset20-10m-a100-r1_wm-mlp_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-a100-r1_wm-mlp_pi-gaussian_seed-1
a100-r1,residual_flow,gaussian,5520000,5400000,0.4145887795664021,4800000,0.422875833408907,0.14300860464572906,0.08087365329265594,404.46023922950025,3.7910607387622197,subset20-10m-a100-r1_wm-residual_flow_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-a100-r1_wm-residual_flow_pi-gaussian_seed-1
a100-r1,residual_mean_flow_wm,gaussian,6900000,6800000,0.426581922066398,6800000,0.426581922066398,0.08732154220342636,0.0631885752081871,515.0918380654248,3.721019292142656,subset20-10m-a100-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-a100-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1
h100-r1,mlp,flow,10000000,10000000,0.5004433966428041,4000000,0.5882528532668948,0.05981750041246414,0.04570867121219635,1008.7702309567669,2.753627825776736,subset20-10m-h100-r1_wm-mlp_pi-flow_seed-1,outputs/logs/soup/1/subset20-10m-h100-r1_wm-mlp_pi-flow_seed-1
h100-r1,mlp,gaussian,10000000,10000000,0.5381618663808331,8800000,0.5910193881392478,0.03464566171169281,0.03753902390599251,988.3814175902899,2.8104310019810996,subset20-10m-h100-r1_wm-mlp_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-h100-r1_wm-mlp_pi-gaussian_seed-1
h100-r1,residual_flow,gaussian,7880000,7800000,0.5204751689173281,7800000,0.5204751689173281,0.07696419954299927,0.053445763885974884,1113.0378211184325,1.966589856478903,subset20-10m-h100-r1_wm-residual_flow_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-h100-r1_wm-residual_flow_pi-gaussian_seed-1
h100-r1,residual_mean_flow_wm,gaussian,10000000,10000000,0.4885096835624426,9200000,0.49206869482994076,0.04857104271650314,0.048109788447618484,1623.4233775247817,1.711061831580268,subset20-10m-h100-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-h100-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1
h200-r1,mlp,flow,9060000,9000000,0.5825463867373765,8800000,0.586626664660871,0.05387253314256668,0.04419306293129921,404.91215623922534,6.2153398654196,subset20-10m-h200-r1_wm-mlp_pi-flow_seed-1,outputs/logs/soup/1/subset20-10m-h200-r1_wm-mlp_pi-flow_seed-1
h200-r1,mlp,gaussian,9980000,9800000,0.46450107548735103,7400000,0.5366627573221922,0.0318387895822525,0.04003264382481575,1401.7353505824324,1.9777072905169593,subset20-10m-h200-r1_wm-mlp_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-h200-r1_wm-mlp_pi-gaussian_seed-1
h200-r1,residual_flow,gaussian,6120000,6000000,0.40035871971398596,5400000,0.47019325491972264,0.06860470771789551,0.05159911885857582,312.949381831637,5.432188394334581,subset20-10m-h200-r1_wm-residual_flow_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-h200-r1_wm-residual_flow_pi-gaussian_seed-1
h200-r1,residual_mean_flow_wm,gaussian,8280000,8200000,0.4531161094084382,7000000,0.45594149261713024,0.04437689855694771,0.05031522363424301,1071.445658850723,2.1466324316130745,subset20-10m-h200-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-h200-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1
l40s-r1,mlp,flow,7940000,7800000,0.5249342055432498,7400000,0.5445885755796918,0.11165148764848709,0.04882661998271942,1760.711116448433,1.2526504404677286,subset20-10m-l40s-r1_wm-mlp_pi-flow_seed-1,outputs/logs/soup/1/subset20-10m-l40s-r1_wm-mlp_pi-flow_seed-1
l40s-r1,mlp,gaussian,10000000,10000000,0.4880085441516712,7400000,0.551388731971383,0.06660011410713196,0.040365807712078094,466.9807681657486,5.948377250499195,subset20-10m-l40s-r1_wm-mlp_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-l40s-r1_wm-mlp_pi-gaussian_seed-1
l40s-r1,residual_flow,gaussian,5900000,5800000,0.46335023170337075,5800000,0.46335023170337075,0.16256892681121826,0.05394089221954346,235.62695222130793,6.955438982844353,subset20-10m-l40s-r1_wm-residual_flow_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-l40s-r1_wm-residual_flow_pi-gaussian_seed-1
l40s-r1,residual_mean_flow_wm,gaussian,6800000,6800000,0.39304612981621173,6800000,0.39304612981621173,0.0939469188451767,0.04962288588285446,2522.5311794082813,0.7488069540262222,subset20-10m-l40s-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1,outputs/logs/soup/1/subset20-10m-l40s-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1
